Subject	IGHV1-7	IGHV1-10	IGHV1-14	IGHV1-17	IGHV1-20	IGHV1-21	IGHV1-27	IGHV1-30	IGHV1-7UL	FracULGlobal	PreVacc	InitialVacc	BoosterVacc	BoosterResponseVacc
14127	0.0597910374663	0.0520145922154	0.0743204636356	0.253194401713	0.30205540521	0.189248287424	0.138663719759	0.0762622203525	40.01903289	0.01603887844	0.0	0.0	2.5	7.16
14129	0.0800423225772	0.0781274104083	0.0753556505	0.35079279376	0.35297934846	0.14911665873	0.115825357327	0.128091191404	22.03026623	0.01197396595	6.16	5.5	8.83	8.5
14133	0.0936385991788	0.0554045415541	0.0720077631435	0.199552525037	0.270123415553	0.244919114725	0.190728284219	0.0458733824385	45.23982208	0.03278588987	3.5	3.5	2.5	5.83
14135	0.0711729889559	0.0575305742261	0.114889014057	0.26156279697	0.284216294507	0.185009844254	0.122927384749	0.108875514239	15.4763438	0.006806129644	5.5	4.16	3.66	5.83
14137	0.0876119631688	0.054859514954	0.0773649825177	0.297432682798	0.323259085907	0.148347193782	0.0960118127238	0.10710574338	47.93736047	0.02709685231	2.83	2.16	0.0	6.5
14139	0.130817750617	0.115696126444	0.0696916336903	0.268341880869	0.317816120742	0.140098023728	0.134256672665	0.0972415414077	52.53617892	0.04711194378	2.16	2.16	1.83	5.5
14143	0.0911188198841	0.0484401762861	0.0717773907354	0.18882190489	0.254741536922	0.244712380439	0.197588094917	0.0434556686746	52.83660165	0.03323489981	2.16	0.0	1.83	8.83
14145	0.0806407332102	0.122484492564	0.0551765422287	0.243057519429	0.323398941056	0.16730278979	0.148404875682	0.0534487919165	48.96801968	0.02748361352	4.16	4.83	3.16	4.5
14147	0.0737206039637	0.292582627794	0.211843823017	0.133693775953	0.175312245388	0.110891676563	0.120956027881	0.0412234872481	45.08624894	0.02353109783	3.16	4.66		6.5
14149	0.0801572454116	0.144387406399	0.141644591446	0.290393163416	0.29613321959	0.136177918793	0.0894393143461	0.0860349910951	37.33957005	0.02247514584	4.5	5.5	3.16	3.16
14151	0.047641200783	0.209555849441	0.121293108447	0.138311471382	0.250428634141	0.170216760492	0.167840981565	0.0198455536628	52.71891532	0.01760396633	0.0	0.0	2.83	8.16
14153	0.0747378614603	0.174611226198	0.2148152615	0.224339510202	0.217037586197	0.0921599648117	0.0714832997531	0.0547475808054	43.68971014	0.02215550847	3.83	2.5	2.5	3.16
14155	0.0483156781746	0.211799287592	0.190656034808	0.231094429009	0.208514551417	0.0958692116812	0.0623634714437	0.0678469770945	35.49614942	0.01214500288	4.5	3.5		5.16
14157	0.0829019003187	0.339855826929	0.158933723305	0.115929773249	0.170690107375	0.12948553898	0.147342653452	0.0233919615962	40.13111567	0.02384730993	2.5	1.83	2.83	5.83
14159	0.0489989701664	0.325932472903	0.147922182458	0.116869345286	0.174465058653	0.114634093411	0.121546999475	0.0199120892996	22.54025817	0.008446939121	4.5	4.83	3.16	7.16
14161	0.0692445107567	0.106734681533	0.075277940198	0.220726253604	0.300071375285	0.168185978991	0.158066818558	0.0642595318265	36.39618605	0.01769605864	2.83	2.5		6.83
14163	0.0699314054421	0.0528666666049	0.0779163348497	0.280377358141	0.314039588117	0.127322216423	0.0932984257275	0.0874967668128	37.36757601	0.0188399706	4.83	3.16	2.5	4.33
14165	0.067384134071	0.176082254235	0.22515027332	0.213732213597	0.213790484381	0.115883510674	0.0753762735432	0.0905949949415	17.82883029	0.007902023385	1.83	0.0	2.5	6.16
